time	NK.EXE	filesys.exe	device.exe	cprog.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	poutlook.exe	tmarshaller.exe	IQueue.exe	AEBPlus.exe	DataServer.exe	SSClient.exe	memuse.exe	ENCommLoader.exe	SureLockClient.exe	wceload.exe	KioskCenter.exe	SSTransferAgent.exe	SpeedyMOBILE.exe	uptimesqm.exe	total
16.03.2015 11:26:19	0	0	8564736	1503232	1630208	1925120	954368	339968	86016	90112	544768	172032	1646592	733184	102400	208896	172032	393216	1396736	118784			20582400
16.03.2015 11:26:29	0	0	8593408	1511424	3080192	2002944	954368	339968	86016	90112	565248	172032	1667072	827392	106496	208896	147456	393216	180224	114688	4923392		25964544
16.03.2015 11:26:40	0	0	8814592	1597440	4489216	2297856	954368	356352	86016	90112	565248	172032	1667072	827392	106496	208896	147456	393216	180224	114688	4706304		27774976
16.03.2015 11:26:50	0	0	8888320	1597440	3887104	2293760	962560	364544	86016	90112	565248	172032	1667072	831488	106496	208896	147456	393216	180224	114688	6086656		28643328
16.03.2015 11:27:00	0	0	8896512	1597440	3887104	2289664	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6086656		28745728
16.03.2015 11:27:10	0	0	8896512	1597440	3887104	2289664	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6103040		28762112
16.03.2015 11:27:20	0	0	8900608	1597440	3891200	2281472	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6217728		28876800
16.03.2015 11:27:30	0	0	8900608	1597440	3907584	2281472	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6414336		29089792
16.03.2015 11:27:40	0	0	8900608	1597440	3907584	2281472	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6483968		29159424
16.03.2015 11:27:50	0	0	8900608	1597440	3907584	2281472	962560	364544	86016	90112	585728	172032	1667072	909312	106496	208896	147456	393216	180224	114688	6819840		29495296
16.03.2015 11:28:00	0	0	8916992	1597440	3973120	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6516736		29261824
16.03.2015 11:28:10	0	0	8937472	1597440	3973120	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6516736		29282304
16.03.2015 11:28:20	0	0	8937472	1597440	4247552	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6516736		29556736
16.03.2015 11:28:30	0	0	8937472	1597440	4247552	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6516736		29556736
16.03.2015 11:28:40	0	0	8937472	1597440	3973120	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6516736		29282304
16.03.2015 11:28:50	0	0	8937472	1597440	3981312	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6537216		29310976
16.03.2015 11:29:00	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6578176		29466624
16.03.2015 11:29:10	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6696960		29585408
16.03.2015 11:29:20	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6754304		29642752
16.03.2015 11:29:30	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6692864		29581312
16.03.2015 11:29:40	0	0	8949760	1597440	4546560	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6692864		30044160
16.03.2015 11:29:50	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6696960		29585408
16.03.2015 11:30:00	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6688768		30019584
16.03.2015 11:30:10	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	7671808		31002624
16.03.2015 11:30:20	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	7671808		31002624
16.03.2015 11:30:30	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	7671808		31002624
16.03.2015 11:30:40	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	7671808		31002624
16.03.2015 11:30:50	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	7671808		31002624
16.03.2015 11:31:00	0	0	8949760	1597440	4526080	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	7671808		31002624
16.03.2015 11:31:10	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6733824		29622272
16.03.2015 11:31:20	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1667072	897024	106496	208896	147456	393216	180224	114688	6733824		29622272
16.03.2015 11:31:30	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1671168	1302528	106496	208896	147456	393216	180224	114688	6733824		30031872
16.03.2015 11:31:40	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1671168	1302528	106496	208896	147456	393216	180224	114688	6742016		30040064
16.03.2015 11:31:50	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	6778880		30081024
16.03.2015 11:32:00	0	0	8949760	1597440	4083712	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	6811648		30113792
16.03.2015 11:32:10	0	0	8949760	1597440	6733824	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	6828032		32780288
16.03.2015 11:32:20	0	0	8949760	1597440	5160960	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	6828032		31207424
16.03.2015 11:32:30	0	0	8949760	1597440	5160960	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	6828032		31207424
16.03.2015 11:32:40	0	0	8949760	1597440	5160960	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	6828032		31207424
16.03.2015 11:32:50	0	0	8949760	1597440	5160960	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	6828032		31207424
16.03.2015 11:33:00	0	0	8949760	1597440	5160960	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	6828032		31207424
16.03.2015 11:33:10	0	0	8949760	1597440	5160960	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	6828032		31207424
16.03.2015 11:33:20	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7356416		31191040
16.03.2015 11:33:30	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7356416		31191040
16.03.2015 11:33:40	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7356416		31191040
16.03.2015 11:33:50	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7356416		31191040
16.03.2015 11:34:00	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7356416		31191040
16.03.2015 11:34:10	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7356416		31191040
16.03.2015 11:34:20	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7356416		31191040
16.03.2015 11:34:30	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7356416		31191040
16.03.2015 11:34:40	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7446528		31281152
16.03.2015 11:34:50	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7446528		31281152
16.03.2015 11:35:00	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7446528		31281152
16.03.2015 11:35:10	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7446528		31281152
16.03.2015 11:35:20	0	0	8949760	1597440	4616192	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	7479296		31313920
16.03.2015 11:35:30	0	0	8949760	1597440	5623808	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	8454144		33296384
16.03.2015 11:35:40	0	0	8949760	1597440	5623808	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	8462336		33304576
16.03.2015 11:35:50	0	0	8986624	1597440	6066176	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	8454144		33775616
16.03.2015 11:36:00	0	0	8986624	1597440	6066176	2281472	962560	364544	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	8454144		33775616
16.03.2015 11:36:10	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	8454144		33771520
16.03.2015 11:36:20	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1302528	106496	208896	147456	393216	180224	114688	8454144		33771520
16.03.2015 11:36:30	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	8454144		33800192
16.03.2015 11:36:40	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	8454144		33800192
16.03.2015 11:36:50	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	8454144		33800192
16.03.2015 11:37:00	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	8454144		33800192
16.03.2015 11:37:10	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	8454144		33800192
16.03.2015 11:37:20	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	8454144		33800192
16.03.2015 11:37:30	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6963200		32309248
16.03.2015 11:37:40	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6963200		32309248
16.03.2015 11:37:50	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6963200		32309248
16.03.2015 11:38:00	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6963200		32309248
16.03.2015 11:38:10	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6963200		32309248
16.03.2015 11:38:20	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6963200		32309248
16.03.2015 11:38:30	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6963200		32309248
16.03.2015 11:38:40	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6963200		32309248
16.03.2015 11:38:50	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6963200		32309248
16.03.2015 11:39:00	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6963200		32309248
16.03.2015 11:39:10	0	0	8986624	1597440	6066176	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6963200		32309248
16.03.2015 11:39:20	0	0	8986624	1597440	5623808	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6967296		31870976
16.03.2015 11:39:30	0	0	8986624	1597440	5623808	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6955008		31858688
16.03.2015 11:39:40	0	0	8986624	1597440	5627904	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6995968		31903744
16.03.2015 11:39:50	0	0	8986624	1597440	5173248	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6926336		31379456
16.03.2015 11:40:00	0	0	8986624	1597440	5173248	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	8499200		32952320
16.03.2015 11:40:10	0	0	8986624	1597440	5173248	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	8499200		32952320
16.03.2015 11:40:20	0	0	8986624	1597440	5173248	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	8503296		32956416
16.03.2015 11:40:30	0	0	8986624	1597440	5447680	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6922240		31649792
16.03.2015 11:40:40	0	0	8986624	1597440	5173248	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6922240		31375360
16.03.2015 11:40:50	0	0	8986624	1597440	5173248	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6922240		31375360
16.03.2015 11:41:00	0	0	8986624	1597440	5173248	2281472	962560	360448	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6922240		31375360
16.03.2015 11:41:10	0	0	8986624	1597440	5173248	2281472	962560	364544	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6922240		31379456
16.03.2015 11:41:20	0	0	8986624	1597440	5173248	2281472	962560	364544	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6922240		31379456
16.03.2015 11:41:30	0	0	8986624	1597440	5173248	2281472	962560	364544	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6922240		31379456
16.03.2015 11:41:40	0	0	8986624	1597440	5173248	2281472	962560	364544	86016	90112	585728	172032	1675264	1331200	106496	208896	147456	393216	180224	114688	6922240		31379456
16.03.2015 11:41:50	0	0	8986624	1597440	5173248	2281472	962560	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6950912		31412224
16.03.2015 11:42:00	0	0	8986624	1597440	5173248	2281472	962560	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7413760		31875072
16.03.2015 11:42:10	0	0	8986624	1597440	5173248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7417856		31883264
16.03.2015 11:42:20	0	0	8986624	1597440	5173248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7417856		31883264
16.03.2015 11:42:30	0	0	8986624	1597440	5173248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7417856		31883264
16.03.2015 11:42:40	0	0	8986624	1597440	5173248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7417856		31883264
16.03.2015 11:42:50	0	0	8986624	1597440	5173248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7483392		31948800
16.03.2015 11:43:00	0	0	8986624	1597440	5173248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7548928		32014336
16.03.2015 11:43:10	0	0	8986624	1597440	5173248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7548928		32014336
16.03.2015 11:43:20	0	0	8986624	1597440	5173248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7680000		32145408
16.03.2015 11:43:30	0	0	8986624	1597440	5173248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7680000		32145408
16.03.2015 11:43:40	0	0	8994816	1597440	4661248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	8511488		32473088
16.03.2015 11:43:50	0	0	8994816	1597440	4661248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6926336		30887936
16.03.2015 11:44:00	0	0	8994816	1597440	4661248	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6926336		30887936
16.03.2015 11:44:10	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:44:20	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:44:30	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:44:40	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:44:50	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:45:00	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:45:10	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:45:20	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:45:30	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:45:40	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:45:50	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:46:00	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:46:10	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:46:20	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:46:30	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:46:40	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:46:50	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	6946816		30912512
16.03.2015 11:47:00	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7471104		31436800
16.03.2015 11:47:10	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7471104		31436800
16.03.2015 11:47:20	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7471104		31436800
16.03.2015 11:47:30	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7471104		31436800
16.03.2015 11:47:40	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7471104		31436800
16.03.2015 11:47:50	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7471104		31436800
16.03.2015 11:48:00	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7471104		31436800
16.03.2015 11:48:10	0	0	8994816	1597440	4665344	2281472	966656	364544	86016	90112	585728	172032	1675264	1335296	106496	208896	147456	393216	180224	114688	7471104		31436800
